2026-09-06 12:45:48 | INFO | httpx | HTTP Request: POST http://testserver/api/upload "HTTP/1.1 400 Bad Request"
2026-09-06 12:45:48 | INFO | httpx | HTTP Request: POST http://testserver/api/upload "HTTP/1.1 200 OK"
2026-09-06 12:45:48 | INFO | httpx | HTTP Request: POST http://testserver/api/import "HTTP/1.1 200 OK"
2026-09-06 12:45:48 | INFO | httpx | HTTP Request: GET http://testserver/api/export/csv "HTTP/1.1 200 OK"
2026-09-06 12:45:48 | INFO | httpx | HTTP Request: GET http://testserver/api/export/json "HTTP/1.1 200 OK"
2026-09-06 12:45:48 | INFO | httpx | HTTP Request: POST http://testserver/api/feedback "HTTP/1.1 422 Unprocessable Entity"
2026-09-06 12:45:48 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:45:48 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:45:48 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:45:48 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:45:48 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:46:37 | INFO | insightai | Starting InsightAI
2026-09-06 12:46:37 | INFO | insightai.seed | Seed import complete training=706 dummy=2207 created=0
2026-09-06 12:46:38 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:46:38 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:46:38 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:46:38 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:46:38 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:46:39 | INFO | insightai | InsightAI startup complete
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:46:48 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:46:48 | INFO | insightai | Starting InsightAI
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:46:48 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:46:48 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:46:48 | INFO | insightai | InsightAI startup complete
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/health "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: POST http://testserver/api/feedback "HTTP/1.1 201 Created"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/feedback/4 "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/feedback?page=1&page_size=5 "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: POST http://testserver/api/feedback/analyze "HTTP/1.1 200 OK"
